DATE,Brussels,Flanders,Wallonia,(empty),Total Result,Brussels,Flanders,Wallonia,Empty
2020-03-01,6,8,2,,16,6,8,2,0
2020-03-02,4,12,1,,17,10,20,3,0
2020-03-03,2,21,13,,36,12,41,16,0
2020-03-04,5,32,13,6,56,17,73,29,6
2020-03-05,2,59,20,,81,19,132,49,6
2020-03-06,9,74,23,1,107,28,206,72,7
2020-03-07,5,16,6,,27,33,222,78,7
2020-03-08,7,37,19,1,64,40,259,97,8
2020-03-09,12,37,42,3,94,52,296,139,11
2020-03-10,13,57,22,7,99,65,353,161,18
2020-03-11,17,106,46,1,170,82,459,207,19
2020-03-12,37,136,69,5,247,119,595,276,24
2020-03-13,39,167,113,19,338,158,762,389,43
2020-03-14,30,74,66,7,177,188,836,455,50
2020-03-15,27,125,53,10,215,215,961,508,60
2020-03-16,61,204,115,8,388,276,1165,623,68
2020-03-17,24,257,127,10,418,300,1422,750,78
2020-03-18,58,288,185,5,536,358,1710,935,83
2020-03-19,55,383,246,32,716,413,2093,1181,115
2020-03-20,70,393,189,11,663,483,2486,1370,126
2020-03-21,44,248,164,14,470,527,2734,1534,140
2020-03-22,64,235,175,13,487,591,2969,1709,153
2020-03-23,116,808,394,12,1330,707,3777,2103,165
2020-03-24,122,687,378,8,1195,829,4464,2481,173
2020-03-25,142,716,328,13,1199,971,5180,2809,186
2020-03-26,149,821,376,17,1363,1120,6001,3185,203
2020-03-27,186,937,371,25,1519,1306,6938,3556,228
2020-03-28,147,479,206,13,845,1453,7417,3762,241
2020-03-29,93,364,213,13,683,1546,7781,3975,254
2020-03-30,138,1035,539,27,1739,1684,8816,4514,281
2020-03-31,178,877,607,18,1680,1862,9693,5121,299
2020-04-01,146,843,494,23,1506,2008,10536,5615,322
2020-04-02,155,800,477,13,1445,2163,11336,6092,335
2020-04-03,167,956,546,23,1692,2330,12292,6638,358
2020-04-04,102,545,255,16,918,2432,12837,6893,374
2020-04-05,82,323,232,10,647,2514,13160,7125,384
2020-04-06,166,1141,577,14,1898,2680,14301,7702,398
2020-04-07,135,830,481,13,1459,2815,15131,8183,411
2020-04-08,168,914,424,15,1521,2983,16045,8607,426
2020-04-09,151,1371,601,16,2139,3134,17416,9208,442
2020-04-10,137,1549,516,39,2241,3271,18965,9724,481
2020-04-11,65,653,244,12,974,3336,19618,9968,493
2020-04-12,59,291,144,16,510,3395,19909,10112,509
2020-04-13,70,286,112,9,477,3465,20195,10224,518
2020-04-14,98,618,421,12,1149,3563,20813,10645,530
