DATE,Sum - CASES,Cases cumul
2020-01-30,1,1
2020-02-01,1,2
2020-02-06,2,4
2020-02-08,1,5
2020-02-10,1,6
2020-02-11,1,7
2020-02-12,1,8
2020-02-18,1,9
2020-02-20,1,10
2020-02-22,1,11
2020-02-24,4,15
2020-02-25,5,20
2020-02-26,3,23
2020-02-27,9,32
2020-02-28,5,37
2020-02-29,16,53
2020-03-01,16,69
2020-03-02,17,86
2020-03-03,36,122
2020-03-04,54,176
2020-03-05,81,257
2020-03-06,107,364
2020-03-07,27,391
2020-03-08,64,455
2020-03-09,94,549
2020-03-10,99,648
2020-03-11,170,818
2020-03-12,246,1064
2020-03-13,335,1399
2020-03-14,176,1575
2020-03-15,215,1790
2020-03-16,388,2178
2020-03-17,416,2594
2020-03-18,535,3129
2020-03-19,713,3842
2020-03-20,662,4504
2020-03-21,466,4970
2020-03-22,488,5458
2020-03-23,1311,6769
2020-03-24,1155,7924
2020-03-25,1175,9099
2020-03-26,1325,10424
2020-03-27,1429,11853
2020-03-28,800,12653
2020-03-29,642,13295
2020-03-30,1453,14748
2020-03-31,589,15337
2020-04-01,9,15346
Total Result,15346,
