Country/Region,French Name,Continent,Last Update,Confirmed,Deaths,Recovered,Existing
Afghanistan,Afghanistan,Asie,2020-03-26 23:48:18,94,4,2,88
Albania,Albanie,Europe,2020-03-26 23:48:18,174,6,17,151
Algeria,Algérie,Afrique,2020-03-26 23:48:18,367,25,29,313
Andorra,Andorre,Europe,2020-03-26 23:48:18,224,3,1,220
Angola,Angola,Afrique,2020-03-26 23:48:18,4,0,0,4
Antigua and Barbuda,Antigua et Barduda,Amérique Centrale,2020-03-26 23:48:18,7,0,0,7
Arab Republic of Egypt,Égypte,Afrique,2020-03-26 23:48:18,495,24,102,369
Argentina,Argentine,Amérique du Sud,2020-03-26 23:48:18,502,9,63,430
Armenia,Arménie,Asie,2020-03-26 23:48:18,290,1,18,271
Austria,Autriche,Europe,2020-03-26 23:48:18,6909,49,112,6748
Azerbaijan,Azebaïdjan,Asie,2020-03-26 23:48:18,122,3,15,104
Bahrain,Bahrein,Asie,2020-03-26 23:48:18,458,4,204,250
Bangladesh,Bangladesh,Asie,2020-03-26 23:48:18,44,5,11,28
Barbados,Barbados,Amérique Centrale,2020-03-26 23:48:18,18,0,0,18
Belarus,Biélorusse,Europe,2020-03-26 23:48:18,86,0,29,57
Belgium,Belgique,Europe,2020-03-26 23:48:18,6235,220,675,5340
Belize,Belize,Amérique Centrale,2020-03-26 23:48:18,2,0,0,2
Benin,Bénin,Afrique,2020-03-26 23:48:18,6,0,0,6
Bhutan,Bhoutan,Asie,2020-03-26 23:48:18,2,0,0,2
Bolivia,Bolivie,Amérique du Sud,2020-03-26 23:48:18,43,0,0,43
Bosnia and Herzegovina,Bosnie Herzégovine,Europe,2020-03-26 23:48:18,191,3,2,186
Brazil,Brésil,Amérique du Sud,2020-03-26 23:48:18,2985,77,6,2902
Brunei Darussalam,Brunei,Asie,2020-03-26 23:48:18,114,0,5,109
Bulgaria,Bulgarie,Europe,2020-03-26 23:48:18,264,3,8,253
Burkina Faso,Burkina Faso,Afrique,2020-03-26 23:48:18,152,7,10,135
C-Australia,,Océanie,2020-03-26 23:53:24,53,0,1,52
C-Australia,,Océanie,2020-03-26 23:53:24,1219,7,4,1208
C-Australia,,Océanie,2020-03-26 23:53:24,12,0,0,12
C-Australia,,Océanie,2020-03-26 23:53:24,493,1,8,484
C-Australia,,Océanie,2020-03-26 23:53:24,235,0,6,229
C-Australia,,Océanie,2020-03-26 23:53:24,47,0,3,44
C-Australia,,Océanie,2020-03-26 23:53:24,520,3,149,368
C-Australia,,Océanie,2020-03-26 23:53:24,231,2,1,228
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,486,2,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,725,14,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,0,1,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,13,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,36,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,33,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,82,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,1,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,73,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,858,13,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,5,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,1632,8,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,0,0,184,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,95,0,0,0
C-Canada,,Amérique du Nord,2020-03-26 23:53:11,3,0,0,0
C-China,,Asie,2020-03-08 05:19:01,990,6,984,0
C-China,,Asie,2020-03-26 06:49:10,566,8,406,152
C-China,,Asie,2020-03-23 23:34:38,578,6,570,2
C-China,,Asie,2020-03-26 01:21:08,328,1,295,32
C-China,,Asie,2020-03-25 23:50:22,136,2,121,13
C-China,,Asie,2020-03-26 09:11:30,1448,8,1336,104
C-China,,Asie,2020-03-20 04:33:45,254,2,250,2
C-China,,Asie,2020-03-18 01:37:43,146,2,144,0
C-China,,Asie,2020-03-24 04:29:15,168,6,168,-6
C-China,,Asie,2020-03-23 01:53:35,319,6,310,3
C-China,,Asie,2020-03-26 00:15:39,484,13,469,2
C-China,,Asie,2020-03-26 02:14:25,1275,22,1250,3
C-China,,Asie,2020-03-26 10:05:28,453,4,110,339
C-China,,Asie,2020-03-26 01:21:08,67801,3169,61201,3431
C-China,,Asie,2020-03-14 08:25:05,1018,4,1014,0
C-China,,Asie,2020-03-26 02:41:27,89,1,74,14
C-China,,Asie,2020-03-26 01:23:32,640,0,631,9
C-China,,Asie,2020-03-23 01:27:01,936,1,934,1
C-China,,Asie,2020-03-25 23:41:29,95,1,92,2
C-China,,Asie,2020-03-26 05:54:02,128,2,124,2
C-China,,Asie,2020-03-26 03:08:32,31,0,10,21
C-China,,Asie,2020-03-16 08:47:05,75,0,75,0
C-China,,Asie,2020-02-23 11:19:02,18,0,18,0
C-China,,Asie,2020-03-26 02:14:25,253,3,242,8
C-China,,Asie,2020-03-26 07:46:17,771,7,752,12
C-China,,Asie,2020-03-26 07:31:30,451,5,331,115
C-China,,Asie,2020-03-25 23:21:31,135,0,133,2
C-China,,Asie,2020-03-25 06:43:02,547,3,536,8
C-China,,Asie,2020-03-26 04:38:20,151,3,133,15
C-China,,Asie,2020-02-23 11:19:02,1,0,1,0
C-China,,Asie,2020-03-08 05:31:02,76,3,73,0
C-China,,Asie,2020-03-25 23:30:18,178,2,172,4
C-China,,Asie,2020-03-26 02:18:44,1243,1,1222,20
C-Denmark,,Europe,2020-03-26 23:48:18,140,0,47,93
C-Denmark,,Europe,2020-03-26 23:48:18,6,0,2,4
C-Denmark,,Europe,2020-03-26 23:48:18,1877,41,1,1835
C-France,,Europe,2020-03-26 23:48:18,28,0,6,22
C-France,,Europe,2020-03-26 23:48:18,30,0,0,30
C-France,,Europe,2020-03-26 23:48:18,73,1,0,72
C-France,,Europe,2020-03-26 23:48:18,66,1,0,65
C-France,,Europe,2020-03-26 23:48:18,36,0,0,36
C-France,,Europe,2020-03-26 23:48:18,14,0,0,14
C-France,,Europe,2020-03-26 23:48:18,135,0,1,134
C-France,,Europe,2020-03-26 23:48:18,3,0,0,3
C-France,,Europe,2020-03-26 23:48:18,11,0,0,11
C-France,,Europe,2020-03-26 23:48:18,29155,1696,4948,22511
C-Netherlands,,Europe,2020-03-26 23:48:18,28,0,1,27
C-Netherlands,,Europe,2020-03-26 23:48:18,6,1,2,3
C-Netherlands,,Europe,2020-03-26 23:48:18,3,0,0,3
C-Netherlands,,Europe,2020-03-26 23:48:18,7431,434,3,6994
C-United Kingdom,,Europe,2020-03-26 23:48:18,15,0,2,13
C-United Kingdom,,Europe,2020-03-26 23:48:18,8,1,0,7
C-United Kingdom,,Europe,2020-03-26 23:48:18,66,1,0,65
C-United Kingdom,,Europe,2020-03-26 23:48:18,35,0,13,22
C-United Kingdom,,Europe,2020-03-26 23:48:18,25,0,0,25
C-United Kingdom,,Europe,2020-03-26 23:48:18,5,0,0,5
C-United Kingdom,,Europe,2020-03-26 23:48:18,11658,578,135,10945
C-US,,Amérique du Nord,2020-03-26 23:48:35,83836,1209,681,81946
Cambodia,Cambodge,Asie,2020-03-26 23:48:18,96,0,10,86
Cameroon,Cameroun,Afrique,2020-03-26 23:48:18,75,1,2,72
Cape Verde,Cap Vert,Afrique,2020-03-26 23:48:18,4,1,0,3
Central African Republic,République d’Afrique Centrale,Afrique,2020-03-26 23:48:18,3,0,0,3
Chad,Tchad,Afrique,2020-03-26 23:48:18,3,0,0,3
Chile,Chili,Amérique du Sud,2020-03-26 23:48:18,1306,4,22,1280
Colombia,Colombie,Amérique du Sud,2020-03-26 23:48:18,491,6,8,477
Congo,Congo,Afrique,2020-03-26 23:48:18,4,0,0,4
Costa Rica,Costa Rica,Amérique du Sud,2020-03-26 23:48:18,231,2,2,227
Côte d'Ivoire,Cote d’Ivoire,Afrique,2020-03-26 23:48:18,96,0,3,93
Croatia,Croatie,Europe,2020-03-26 23:48:18,495,3,22,470
Cuba,Cuba,Amérique Centrale,2020-03-26 23:48:18,67,2,1,64
Cyprus,Chypre,Europe,2020-03-26 23:48:18,146,3,4,139
Czech Republic,République Tchèque,Europe,2020-03-26 23:48:18,1925,9,10,1906
Democratic Republic of Congo,République Démocratique du Congo,Afrique,2020-03-26 23:48:18,51,3,0,48
Diamond Princess,Diamond Princess,,2020-03-26 23:48:18,712,10,597,105
Djibouti,Djibouti,Afrique,2020-03-26 23:48:18,11,0,0,11
Dominica,Dominique,Amérique Centrale,2020-03-26 23:48:18,11,0,0,11
Dominican Republic,République Dominicaine,Amérique Centrale,2020-03-26 23:48:18,488,10,3,475
Ecuador,Équateur,Amérique du Sud,2020-03-26 23:48:18,1403,34,3,1366
El Salvador,El Salvador,Amérique Centrale,2020-03-26 23:48:18,13,0,0,13
Equatorial Guinea,Guinée équatoriale,Afrique,2020-03-26 23:48:18,12,0,0,12
Eritrea,Erythrée,Afrique,2020-03-26 23:48:18,6,0,0,6
Estonia,Estonie,Europe,2020-03-26 23:48:18,538,1,8,529
Eswatini,Eswatini,Afrique,2020-03-26 23:48:18,6,0,0,6
Ethiopia,Ethiopie,Afrique,2020-03-26 23:48:18,12,0,0,12
Fiji,Iles Fidji,Amérique Centrale,2020-03-26 23:48:18,5,0,0,5
Finland,Finlande,Europe,2020-03-26 23:48:18,958,5,10,943
Gabon,Gabon,Afrique,2020-03-26 23:48:18,7,1,0,6
Georgia,Géorgie,Asie,2020-03-26 23:48:18,79,0,11,68
Germany,Allemagne,Europe,2020-03-26 23:48:18,43938,267,5673,37998
Ghana,Ghana,Afrique,2020-03-26 23:48:18,132,4,1,127
Greece,Grèce,Europe,2020-03-26 23:48:18,892,26,36,830
Grenada,Grenade,Amérique Centrale,2020-03-26 23:48:18,7,0,0,7
Guatemala,Guatemala,Amérique Centrale,2020-03-26 23:48:18,25,1,4,20
Guinea,Guinée,Afrique,2020-03-26 23:48:18,4,0,0,4
Guinea-Bissau,Guinée-Bissau,Afrique,2020-03-26 23:48:18,2,0,0,2
Guyana,Guyane,Amérique du Sud,2020-03-26 23:48:18,5,1,0,4
Haiti,Haïti,Amérique Centrale,2020-03-26 23:48:18,8,0,0,8
Holy See,Iles Anglo-Normandes,Europe,2020-03-26 23:48:18,4,0,0,4
Honduras,Honduras,Amérique Centrale,2020-03-26 23:48:18,52,1,0,51
Hungary,Hongrie,Europe,2020-03-26 23:48:18,261,10,28,223
Iceland,Islande,Europe,2020-03-26 23:48:18,802,2,82,718
India,Inde,Asie,2020-03-26 23:48:18,727,20,45,662
Indonesia,Indonésie,Asie,2020-03-26 23:48:18,893,78,35,780
Iraq,Irak,Moyen-Orient,2020-03-26 23:48:18,382,36,105,241
Ireland,Irlande,Europe,2020-03-26 23:48:18,1819,19,5,1795
Islamic Republic of Iran,Iran,Moyen-Orient,2020-03-26 23:48:18,29406,2234,10457,16715
Israel,Israël,Moyen-Orient,2020-03-26 23:48:18,2693,8,68,2617
Italy,Italie,Europe,2020-03-26 23:48:18,80589,8215,10361,62013
Jamaica,Jamaïque,Amérique Centrale,2020-03-26 23:48:18,26,1,2,23
Japan,Japon,Asie,2020-03-26 23:48:18,1387,47,359,981
Jordan,Jordanie,Moyen-Orient,2020-03-26 23:48:18,212,0,1,211
Kazakhstan,Kazakhstan,Asie,2020-03-26 23:48:18,111,1,2,108
Kenya,Kenya,Afrique,2020-03-26 23:48:18,31,1,1,29
Kosovo,Kosovo,Europe,2020-03-26 23:48:18,71,1,0,70
Kuwait,Koweit,Moyen-Orient,2020-03-26 23:48:18,208,0,49,159
Kyrgyz Republic,Kirghizistan,Asie,2020-03-26 23:48:18,44,0,0,44
Lao People's Democratic Republic,Laos,Asie,2020-03-26 23:48:18,6,0,0,6
Latvia,Lettonie,Europe,2020-03-26 23:48:18,244,0,1,243
Lebanon,Liban,Moyen-Orient,2020-03-26 23:48:18,368,6,23,339
Liberia,Liberia,Afrique,2020-03-26 23:48:18,3,0,0,3
Libya,Libye,Afrique,2020-03-26 23:48:18,1,0,0,1
Liechtenstein,Liechtenstein,Europe,2020-03-26 23:48:18,56,0,0,56
Lithuania,Lituanie,Europe,2020-03-26 23:48:18,299,4,1,294
Luxembourg,Luxembourg,Europe,2020-03-26 23:48:18,1453,9,6,1438
Madagascar,Madagascar,Afrique,2020-03-26 23:48:18,23,0,0,23
Malaysia,Malaisie,Asie,2020-03-26 23:48:18,2031,23,215,1793
Maldives,Maldives,Asie,2020-03-26 23:48:18,13,0,8,5
Mali,Mali,Afrique,2020-03-26 23:48:18,4,0,0,4
Malta,Malte,Europe,2020-03-26 23:48:18,134,0,2,132
Mauritania,Mauritanie,Afrique,2020-03-26 23:48:18,3,0,0,3
Mauritius,Maurice,Afrique,2020-03-26 23:48:18,81,2,0,79
Mexico,Mexique,Amérique du Nord,2020-03-26 23:48:18,475,6,4,465
Moldova,Moldavie,Asie,2020-03-26 23:48:18,177,1,2,174
Monaco,Monaco,Europe,2020-03-26 23:48:18,33,0,1,32
Mongolia,Mongolie,Asie,2020-03-26 23:48:18,11,0,0,11
Montenegro,Montenegro,Europe,2020-03-26 23:48:18,69,1,0,68
Morocco,Maroc,Afrique,2020-03-26 23:48:18,275,11,8,256
Mozambique,Mozambique,Afrique,2020-03-26 23:48:18,7,0,0,7
Namibia,Namibie,Afrique,2020-03-26 23:48:18,8,0,2,6
Nepal,Népal,Asie,2020-03-26 23:48:18,3,0,1,2
New Zealand,Nouvelle-Zélande,Océanie,2020-03-26 23:48:18,283,0,27,256
Nicaragua,Nicaragua,Amérique Centrale,2020-03-26 23:48:18,2,0,0,2
Niger,Niger,Afrique,2020-03-26 23:48:18,10,1,0,9
Nigeria,Nigeria,Afrique,2020-03-26 23:48:18,65,1,2,62
North Macedonia,Macédoine du Nord,Europe,2020-03-26 23:48:18,201,3,3,195
Norway,Norvège,Europe,2020-03-26 23:48:18,3369,14,6,3349
Oman,Oman,Moyen-Orient,2020-03-26 23:48:18,109,0,23,86
Pakistan,Pakistan,Asie,2020-03-26 23:48:18,1201,9,21,1171
Panama,Panama,Amérique Centrale,2020-03-26 23:48:18,558,8,2,548
Papua New Guinea,Papouasie Nouvelle Guinée,Océanie,2020-03-26 23:48:18,1,0,0,1
Paraguay,Paraguay,Amérique du Sud,2020-03-26 23:48:18,41,3,0,38
Peru,Pérou,Amérique du Sud,2020-03-26 23:48:18,580,9,14,557
Philippines,Philippines,Asie,2020-03-26 23:48:18,707,45,28,634
Poland,Pologne,Europe,2020-03-26 23:48:18,1221,16,7,1198
Portugal,Portugal,Europe,2020-03-26 23:48:18,3544,60,43,3441
Qatar,Qatar,Moyen-Orient,2020-03-26 23:48:18,549,0,43,506
R. B. de Venezuela,Venezuela,Amérique du Sud,2020-03-26 23:48:18,107,0,15,92
Republic of Korea,Corée du Sud,Asie,2020-03-26 23:48:18,9241,131,4144,4966
Romania,Roumanie,Europe,2020-03-26 23:48:18,1029,23,94,912
Russian Federation,Russie,Asie,2020-03-26 23:48:18,840,3,38,799
Rwanda,Rwanda,Afrique,2020-03-26 23:48:18,50,0,0,50
Saint Kitts and Nevis,Saint-Christophe-et-Niévès,Amérique Centrale,2020-03-26 23:48:18,2,0,0,2
Saint Lucia,Sainte Lucie,Amérique Centrale,2020-03-26 23:48:18,3,0,0,3
Saint Vincent and the Grenadines,Saint Vincent et les Grenadines,Amérique Centrale,2020-03-26 23:48:18,1,0,0,1
San Marino,Saint Marin,Europe,2020-03-26 23:48:18,208,21,4,183
Saudi Arabia,Arabie Saoudite,Moyen-Orient,2020-03-26 23:48:18,1012,3,33,976
Senegal,Sénégal,Afrique,2020-03-26 23:48:18,105,0,9,96
Serbia,Serbie,Europe,2020-03-26 23:48:18,384,1,0,383
Seychelles,Seychelles,Asie,2020-03-26 23:48:18,7,0,0,7
Singapore,Singapour,Asie,2020-03-26 23:48:18,683,2,172,509
Slovak Republic,Slovaquie,Europe,2020-03-26 23:48:18,226,0,2,224
Slovenia,Slovénie,Europe,2020-03-26 23:48:18,562,6,10,546
Somalia,Somalie,Afrique,2020-03-26 23:48:18,2,0,0,2
South Africa,Afrique du Sud,Afrique,2020-03-26 23:48:18,927,0,12,915
Spain,Espagne,Europe,2020-03-26 23:48:18,57786,4365,7015,46406
Sri Lanka,Sri Lanka,Asie,2020-03-26 23:48:18,106,0,7,99
Sudan,Soudan,Afrique,2020-03-26 23:48:18,3,1,0,2
Suriname,Suriname,Amérique du Sud,2020-03-26 23:48:18,8,0,0,8
Sweden,Suède,Europe,2020-03-26 23:48:18,2840,77,16,2747
Switzerland,Suisse,Europe,2020-03-26 23:48:18,11811,191,131,11489
Syrian Arab Republic,Syrie,Moyen-Orient,2020-03-26 23:48:18,5,0,0,5
Taiwan,Taiwan,Asie,2020-03-26 07:31:30,252,2,29,221
Tanzania,Tanzanie,Afrique,2020-03-26 23:48:18,13,0,0,13
Thailand,Thaïlande,Asie,2020-03-26 23:48:18,1045,4,88,953
The Bahamas,Les Bahamas,Amérique Centrale,2020-03-26 23:48:18,9,0,1,8
The Gambia,Gambie,Afrique,2020-03-26 23:48:18,3,1,0,2
Timor-Leste,Timor Oriental,Asie,2020-03-26 23:48:18,1,0,0,1
Togo,Togo,Afrique,2020-03-26 23:48:18,23,0,1,22
Trinidad and Tobago,Trinidad et Tobago,Amérique Centrale,2020-03-26 23:48:18,65,1,0,64
Tunisia,Tunisie,Afrique,2020-03-26 23:48:18,197,6,2,189
Turkey,Turquie,Europe,2020-03-26 23:48:18,3629,75,26,3528
Uganda,Ouganda,Afrique,2020-03-26 23:48:18,14,0,0,14
Ukraine,Ukraine,Europe,2020-03-26 23:48:18,196,5,1,190
United Arab Emirates,Émirats Arabes Unis,Moyen-Orient,2020-03-26 23:48:18,333,2,52,279
Uruguay,Uruguay,Amérique du Sud,2020-03-26 23:48:18,217,0,0,217
Uzbekistan,Ouzbékistan,Asie,2020-03-26 23:48:18,75,0,0,75
Vietnam,Vietnam,Asie,2020-03-26 23:48:18,153,0,20,133
West Bank and Gaza,Palestine,Moyen-Orient,2020-03-26 23:48:18,84,1,17,66
Zambia,Zambie,Afrique,2020-03-26 23:48:18,16,0,0,16
Zimbabwe,Zimbabwe,Afrique,2020-03-26 23:48:18,3,1,0,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Australia,Australie,Océanie,2020-03-26 23:48:18,2810,13,172,2625
Canada,Canada,Amérique du Nord,2020-03-26 23:48:18,4042,38,184,3820
China,Chine,Asie,2020-03-26 23:48:18,81782,3291,74181,4310
Denmark,Danemark,Europe,2020-03-26 23:48:19,2023,41,50,1932
France,France,Europe,2020-03-26 23:48:19,29551,1698,4955,22898
Netherlands,Pays-Bas,Europe,2020-03-26 23:48:19,7468,435,6,7027
United Kingdom,Royaume-Uni,Europe,2020-03-26 23:48:20,11812,580,150,11082
United States of America,États-Unis,Amérique du Nord,2020-03-26 23:48:20,83836,1209,681,81946
Republic of Serbia,Serbie,Europe,2020-03-26 23:48:20,457,4,15,285
Slovakia,Slovaquie,Europe,2020-03-26 23:48:21,226,0,7,219
Macedonia,Macédoine du Nord,Europe,2020-03-26 23:48:21,201,3,3,195
