,Data,,,
Country_Region,Sum - Confirmed,Sum - Deaths,Sum - Recovered,Sum - Active
Afghanistan,237,4,5,228
Albania,259,15,67,177
Algeria,847,58,61,728
Andorra,390,14,10,366
Angola,8,2,1,5
Antigua and Barbuda,7,0,0,7
Arab Republic of Egypt,779,52,179,548
Argentina,1054,28,248,778
Armenia,571,4,31,536
Australia,4862,20,422,4420
Austria,10711,146,1436,9129
Azerbaijan,359,5,26,328
Bahrain,569,4,337,228
Bangladesh,54,6,25,23
Barbados,34,0,0,34
Belarus,163,2,53,108
Belgium,13964,828,2132,11004
Belize,3,0,0,3
Benin,13,0,1,12
Bhutan,4,0,0,4
Bolivia,115,7,1,107
Bosnia and Herzegovina,459,13,19,427
Botswana,4,1,0,3
Brazil,6836,240,127,6469
Brunei Darussalam,131,1,52,78
Bulgaria,422,10,20,392
Burkina Faso,282,16,46,220
Burundi,2,0,0,2
Cambodia,109,0,25,84
Cameroon,233,6,10,217
Canada,9560,109,1324,0
Cape Verde,6,1,0,5
Central African Republic,3,0,0,3
Chad,7,0,0,7
Chile,3031,16,234,2781
China,82361,3316,76405,2640
Colombia,1065,17,39,1009
Congo,19,0,0,19
Costa Rica,375,2,4,369
C̫te d'Ivoire,190,1,9,180
Croatia,963,6,73,884
Cuba,212,6,12,194
Cyprus,320,9,28,283
Czech Republic,3508,39,61,3408
Democratic Republic of Congo,109,9,3,97
Denmark,3290,104,971,2215
Diamond Princess,712,11,603,98
Djibouti,33,0,0,33
Dominica,12,0,0,12
Dominican Republic,1284,57,9,1218
Ecuador,2748,93,58,2597
El Salvador,32,1,0,31
Equatorial Guinea,15,0,1,14
Eritrea,15,0,0,15
Estonia,779,5,33,741
Eswatini,9,0,0,9
Ethiopia,29,0,2,27
Fiji,5,0,0,5
Finland,1446,17,10,1419
France,57749,4043,11053,42653
Gabon,18,1,0,17
Georgia,117,0,23,94
Germany,77872,920,18700,58252
Ghana,195,5,31,159
Greece,1415,50,52,1313
Grenada,9,0,0,9
Guatemala,39,1,12,26
Guinea,30,0,0,30
Guinea-Bissau,9,0,0,9
Guyana,19,2,0,17
Haiti,16,0,1,15
Holy See,6,0,0,6
Honduras,172,10,3,159
Hungary,525,20,40,465
Iceland,1220,2,225,993
India,1998,58,148,1792
Indonesia,1677,157,103,1417
Iraq,728,52,182,494
Ireland,3447,85,5,3357
Islamic Republic of Iran,47593,3036,15473,29084
Israel,6092,26,241,5825
Italy,110574,13155,16847,80572
Jamaica,44,3,2,39
Japan,2178,57,472,1649
Jordan,278,5,36,237
Kazakhstan,380,3,26,351
Kenya,81,1,3,77
Kosovo,125,1,10,114
Kuwait,317,0,80,237
Kyrgyz Republic,111,0,3,108
Lao People's Democratic Republic,10,0,0,10
Latvia,446,0,1,445
Lebanon,479,14,43,422
Liberia,6,0,0,6
Libya,10,0,0,10
Liechtenstein,68,0,0,68
Lithuania,581,8,7,566
Luxembourg,2319,29,80,2210
Madagascar,57,0,0,57
Malaysia,2908,45,645,2218
Maldives,19,0,13,6
Mali,31,3,0,28
Malta,188,0,2,186
Mauritania,6,1,2,3
Mauritius,161,6,0,155
Mexico,1215,29,35,1151
Moldova,423,5,23,395
Monaco,55,1,2,52
Mongolia,14,0,2,12
Montenegro,123,2,0,121
Morocco,654,39,29,586
Mozambique,10,0,0,10
MS Zaandam,9,2,0,7
Myanmar,15,1,0,14
Namibia,14,0,2,12
Nepal,5,0,1,4
Netherlands,13696,1175,260,12261
New Zealand,708,1,83,624
Nicaragua,5,1,0,4
Niger,74,5,0,69
Nigeria,174,2,9,163
North Macedonia,354,11,17,326
Norway,4863,44,13,4806
Oman,210,1,34,175
Pakistan,2118,27,94,1997
Panama,1181,30,9,1142
Papua New Guinea,1,0,0,1
Paraguay,69,3,1,65
Peru,1323,38,394,891
Philippines,2311,96,50,2165
Poland,2554,43,47,2464
Portugal,8251,187,43,8021
Qatar,835,2,71,762
R. B. de Venezuela,143,3,41,99
Republic of Korea,9887,165,5567,4155
Romania,2460,92,252,2116
Russian Federation,2777,24,190,2563
Rwanda,82,0,0,82
Saint Kitts and Nevis,8,0,0,8
Saint Lucia,13,0,1,12
Saint Vincent and the Grenadines,1,0,1,0
San Marino,236,26,13,197
Saudi Arabia,1720,16,264,1440
Senegal,190,1,45,144
Serbia,1060,28,0,1032
Seychelles,10,0,0,10
Sierra Leone,2,0,0,2
Singapore,1000,3,245,752
Slovak Republic,400,1,3,396
Slovenia,841,15,10,816
Somalia,5,0,1,4
South Africa,1380,5,50,1325
Spain,104118,9387,22647,72084
Sri Lanka,146,3,21,122
Sudan,7,2,2,3
Suriname,10,0,0,10
Sweden,4947,239,103,4605
Switzerland,17768,488,2967,14313
Syrian Arab Republic,10,2,0,8
Taiwan,329,5,39,285
Tanzania,20,1,1,18
Thailand,1771,12,505,1254
The Bahamas,21,1,1,19
The Gambia,4,1,2,1
Timor-Leste,1,0,0,1
Togo,36,2,10,24
Trinidad and Tobago,90,5,1,84
Tunisia,423,12,5,406
Turkey,15679,277,333,15069
Uganda,44,0,0,44
Ukraine,794,20,13,761
United Arab Emirates,814,8,61,745
United Kingdom,29865,2357,179,27329
Uruguay,338,2,41,295
US,213372,4757,8474,0
Uzbekistan,181,2,12,167
Vietnam,218,0,63,155
West Bank and Gaza,134,1,18,115
Zambia,36,0,0,36
Zimbabwe,8,1,0,7
Total Result,932605,46809,193177,484351
